,date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value
0,20230721,70300,5,-700,-0.99,16528926,-135656797,-47587921,187226850,66422136,3161057429,52.95,189453121,111023539,6948297
1,20230720,71000,5,-700,-0.98,9732730,-139311894,-47899737,191282378,67245571,3164847957,53.01,193243649,110811513,6933193
2,20230719,71700,5,-300,-0.42,10851948,-140292604,-47019045,191388319,67055130,3163456948,52.99,191852640,110486152,6909844
3,20230718,72000,5,-1300,-1.77,11282654,-141004884,-45818326,190916335,65954614,3163380264,52.99,191775956,110112691,6882647
4,20230717,73300,5,-100,-0.14,10060049,-142362894,-45165996,191707382,66590493,3164885311,53.02,193281003,109698081,6852294
5,20230714,73400,2,1500,2.09,15772356,-140744785,-45262571,190164707,65236440,3163509952,52.99,191905644,109212574,6816878
6,20230713,71900,3,0,0.00,14417279,-132237257,-49099746,185340635,63020397,3158405403,52.91,186801095,108817844,6788346
7,20230712,71900,2,400,0.56,10226140,-129421970,-51436711,184903714,64448793,3157846123,52.90,186241815,108372951,6756542
8,20230711,71500,2,2000,2.88,12152893,-128343574,-50788006,183185755,63850765,3155927850,52.87,184323542,107822925,6717561
9,20230710,69500,5,-400,-0.57,11565490,-126741970,-51551935,182308775,63685861,3153681962,52.83,182077654,107325334,6682910
10,20230707,69900,5,-1700,-2.37,17280440,-127445547,-50783963,182280303,63714249,3153813013,52.83,182208705,106550994,6628578
11,20230706,71600,5,-400,-0.56,14588829,-131738865,-47615305,183501927,65680593,3154801683,52.85,183197375,106174875,6601678
12,20230705,72000,5,-1000,-1.37,11662458,-132099982,-46189905,182444649,65602504,3153589805,52.83,181985497,105770080,6572387
13,20230704,73000,3,0,0.00,10212350,-133813098,-43456608,181467984,64538024,3152485502,52.81,180881194,105514085,6553632
14,20230703,73000,2,800,1.11,10722181,-132855415,-42240854,179212496,63131524,3150524014,52.77,178919706,105262008,6535244
15,20230630,72200,5,-200,-0.28,11334353,-130311454,-44811216,179201579,63717753,3151237002,52.79,179632694,104744876,6497908
16,20230629,72400,5,-300,-0.41,12216370,-129977885,-44556921,178627581,63177865,3151307696,52.79,179703388,104395042,6472402
17,20230628,72700,2,100,0.14,8716664,-128750299,-43737595,176470947,62538125,3149128846,52.75,177524538,104075691,6449251
18,20230627,72600,2,200,0.28,9222104,-127795987,-43797846,175624946,61803035,3150393963,52.77,178789655,103456863,6404457
19,20230626,72400,2,800,1.12,10410317,-125886563,-43380018,173353433,60880098,3147924486,52.73,176320178,102901857,6364586
20,20230623,71600,2,300,0.42,12252821,-121676750,-44279085,169909364,58817687,3144334417,52.67,172730109,102596360,6342632
21,20230622,71300,2,800,1.13,11316385,-118912812,-42706098,165529418,57558911,3139538222,52.59,167933914,102252541,6318198
22,20230621,70500,5,-900,-1.26,10528867,-116625767,-43029137,163525729,56289874,3138521456,52.57,166917148,102069930,6305287
23,20230620,71400,2,200,0.28,11535955,-117544003,-42658856,164055989,56318903,3139273940,52.59,167669632,101956917,6297285
24,20230619,71200,5,-600,-0.84,11009959,-117007722,-42233069,163113926,54916062,3138114632,52.57,166510324,101769580,6283959
25,20230616,71800,2,300,0.42,14302425,-117184269,-41679895,162731024,55290414,3137906162,52.56,166301854,100884609,6220682
26,20230615,71500,5,-400,-0.56,13157666,-117333787,-40016309,161219696,54641047,3136133435,52.53,164529127,100739386,6210244
27,20230614,71900,5,-100,-0.14,12501046,-116975849,-39675335,160526550,55005667,3136959357,52.55,165355049,100588596,6199441
28,20230613,72000,2,1000,1.41,12917385,-116722208,-39228146,159812892,55332723,3136646047,52.54,165041739,100518050,6194370
29,20230612,71000,5,-1000,-1.39,12042817,-113974508,-40202879,157968116,54017670,3135405516,52.52,163801208,98549410,6053756
30,20230609,72000,2,1100,1.55,14992310,-115251785,-40684299,159721082,54263781,3138211482,52.57,166607174,98035203,6017084
31,20230608,70900,5,-100,-0.14,19165568,-111461464,-42111199,157248659,53354933,3135396459,52.52,163792151,97661868,5990663
32,20230607,71000,5,-700,-0.98,14755937,-110865528,-42570584,157020326,53341773,3135548226,52.52,163943918,97568234,5983999
33,20230605,71700,5,-500,-0.69,12651559,-110614101,-44115358,158283632,53300440,3136445332,52.54,164841024,97079852,5948813
34,20230602,72200,2,1300,1.83,11769798,-111022859,-45103116,159708687,55486013,3136730023,52.54,165125715,96463688,5904504
35,20230601,70900,5,-500,-0.70,14566407,-108513149,-45134706,157260542,53605380,3133808250,52.49,162203942,96148495,5882075
36,20230531,71400,5,-900,-1.24,24153085,-108764062,-43659982,156015064,52251259,3132707672,52.48,161103364,95292440,5820470
37,20230530,72300,2,2000,2.84,25371700,-107617447,-42947944,154020175,52910318,3130869289,52.45,159264981,94207336,5742629
38,20230526,70300,2,1500,2.18,19522023,-102641905,-42051992,147801658,51684933,3124516695,52.34,152912387,92948727,5654523
39,20230525,68800,2,300,0.44,14231160,-96180092,-40923376,140108818,48099825,3116542289,52.21,144937981,92008966,5589439
40,20230524,68500,2,100,0.15,8081634,-95847796,-40198364,138993593,47687418,3116148965,52.20,144544657,91630241,5563527
41,20230523,68400,5,-100,-0.15,8528989,-95082492,-39577529,137614838,46329094,3114885610,52.18,143281302,91060056,5524500
42,20230522,68500,2,100,0.15,14425375,-94595942,-40660419,138153452,47210905,3115646940,52.19,144042632,90425714,5481067
43,20230519,68400,2,2200,3.32,20334873,-92175916,-43089278,138086011,48363123,3115896617,52.19,144292309,89837716,5441144
44,20230518,66200,2,1200,1.85,14411704,-81936108,-45932473,130304148,43786311,3109160000,52.08,137555692,89218145,5400281
45,20230517,65000,5,-400,-0.61,10217085,-77612563,-44958917,124806123,40813607,3103603817,51.99,131999509,87643302,5297388
46,20230516,65400,2,900,1.40,12200178,-78095668,-44925223,125281430,41701742,3103605816,51.99,132001508,86944456,5251531
47,20230515,64500,2,400,0.62,8157143,-75824373,-44981320,122050858,38861482,3100906224,51.94,129301916,86373202,5214883
48,20230512,64100,5,-100,-0.16,7546680,-75355609,-45172789,121763108,38886589,3100618474,51.94,129014166,86005256,5191257
49,20230511,64200,5,-400,-0.62,11648905,-75449965,-44874648,121516979,38208202,3100236345,51.93,128632037,85434761,5154348
50,20230510,64600,5,-700,-1.07,13042129,-76048046,-45073308,122296390,40017486,3100932940,51.94,129328632,85081872,5131533
51,20230509,65300,5,-600,-0.91,9293835,-77443183,-44215658,122953298,42563474,3101759848,51.96,130155540,84046667,5063842
52,20230508,65900,2,800,1.23,9268657,-77653856,-44425151,123401836,43230794,3102256191,51.97,130651883,83614302,5035302
53,20230504,65100,5,-300,-0.46,9776982,-74994365,-45984569,122261675,42989824,3101371293,51.95,129766985,83140094,5004405
54,20230503,65400,5,-300,-0.46,8795072,-75115076,-44506922,120923457,42600815,3100361780,51.93,128757472,82344378,4952449
55,20230502,65700,2,200,0.31,14099788,-75148884,-43451825,119867798,41474958,3097854660,51.89,126250352,81209008,4877691
56,20230428,65500,2,900,1.39,18158364,-73531289,-43977217,118685015,42370978,3096749107,51.87,125144799,80404014,4825035
57,20230427,64600,2,500,0.78,14727926,-70876121,-42769668,114739351,39986421,3092645815,51.80,121041507,80181215,4810773
58,20230426,64100,2,500,0.79,12583068,-69480401,-40307793,110835488,38600637,3088205952,51.73,116601644,79764877,4784204
59,20230425,63600,5,-1600,-2.45,16088779,-69135508,-39331394,109386020,37307647,3085388514,51.68,113784206,79419012,4761918
60,20230424,65200,5,-500,-0.76,12916594,-70397910,-38788608,110100287,37535556,3086117183,51.70,114512875,78752337,4718452
61,20230421,65700,2,400,0.61,10302056,-68767058,-39129871,108742086,37171813,3083353159,51.65,111748851,78062844,4673189
62,20230420,65300,5,-200,-0.31,9501169,-66763136,-38459985,106056889,38576300,3080713573,51.61,109109265,77801056,4656166
63,20230419,65500,5,-100,-0.15,10254291,-65934619,-38056100,104798639,37865175,3079372323,51.58,107768015,77496835,4636241
64,20230418,65600,2,300,0.46,14786758,-64963387,-37986904,103742835,37660947,3080154519,51.60,108550211,76987589,4602954
65,20230417,65300,2,200,0.31,13486618,-64305433,-34913767,99999657,35590212,3075861341,51.52,104257033,76742647,4586990
66,20230414,65100,5,-1000,-1.51,15520395,-62645497,-33138143,96510377,33713499,3072411061,51.47,100806753,76325955,4559543
67,20230413,66100,2,100,0.15,14618096,-63666863,-33733619,98181316,34819872,3074047000,51.49,102442692,75383266,4497465
68,20230412,66000,2,100,0.15,14800565,-62552044,-34831286,98161735,34620373,3074013419,51.49,102409111,75011744,4473051
69,20230411,65900,2,200,0.30,16204548,-60595541,-33295369,94700405,33447533,3069825120,51.42,98220812,74450827,4436156
70,20230410,65700,2,700,1.08,18758406,-58292944,-34535438,93551526,33928469,3068974241,51.41,97369933,73840626,4396182
71,20230407,65000,2,2700,4.33,27476120,-53894905,-34460001,89018563,30777926,3064926246,51.34,93321938,73341455,4363866
72,20230406,62300,5,-1600,-2.50,14992747,-38708330,-36209751,75406014,19099133,3050492697,51.10,78888389,72836141,4331999
73,20230405,63900,2,300,0.47,9066149,-40763490,-34373992,75675454,19007256,3050116684,51.09,78512376,72359005,4301609
74,20230404,63600,2,500,0.79,11104517,-38537407,-34202744,73230692,16720003,3047585024,51.05,75980716,72072443,4283423
75,20230403,63100,5,-900,-1.41,11967331,-36440647,-34500720,71352890,16407809,3045471322,51.01,73867014,71538328,4249547
76,20230331,64000,2,800,1.27,13399502,-37015843,-32950031,70413384,16132265,3042410816,50.96,70806508,71129229,4223410
77,20230330,63200,2,500,0.80,15085857,-31700018,-33363528,65397473,14022465,3036413170,50.86,64808862,70378888,4175832
78,20230329,62700,5,-200,-0.32,11098114,-28761252,-32947034,62033324,13108801,3036800280,50.87,65195972,70030994,4154102
79,20230328,62900,2,800,1.29,11547657,-28269079,-34063711,62657472,12204511,3040243186,50.93,68638878,69844618,4142434
80,20230327,62100,5,-900,-1.43,11039331,-26559232,-35843752,62665380,11523883,3040001094,50.92,68396786,69533226,4123010
81,20230324,63000,2,700,1.12,17494809,-26161714,-36249676,62710420,12360587,3040249034,50.93,68644726,68608451,4065100
82,20230323,62300,2,1200,1.96,15375389,-20705217,-34402828,55307546,8327358,3033717796,50.82,62113488,68231978,4041819
83,20230322,61100,2,800,1.33,8976554,-15896460,-35294297,51243215,5961096,3030156153,50.76,58551845,68108414,4034300
84,20230321,60300,2,100,0.17,8316048,-13464689,-36063639,49528935,5288248,3028614032,50.73,57009724,67793327,4015294
85,20230320,60200,5,-1100,-1.79,9609319,-13405088,-36521825,49943451,5596993,3028104808,50.72,56500500,66801404,3955134
86,20230317,61300,2,1400,2.34,13882536,-14674782,-36717733,51428176,7208439,3029991631,50.76,58387323,66560777,3940428
87,20230316,59900,2,100,0.17,10609439,-11345866,-36845572,48203813,5608338,3027317381,50.71,55713073,66308791,3925440
88,20230315,59800,2,800,1.36,10305949,-11329795,-36464852,47792588,5503989,3025958110,50.69,54353802,65902876,3901107
89,20230314,59000,5,-1000,-1.67,11261616,-9690061,-37167285,46843308,5153773,3024837845,50.67,53233537,65574000,3881621
90,20230313,60000,2,500,0.84,11831548,-11376924,-37222779,48617004,6990791,3026204650,50.69,54600342,65140567,3855619
91,20230310,59500,5,-600,-1.00,11858460,-10175207,-38219174,48188837,6348346,3024992666,50.67,53388358,64688966,3828846
92,20230309,60100,5,-200,-0.33,13976635,-12301029,-36581921,48754829,7896583,3025292658,50.68,53688350,64540667,3819923
93,20230308,60300,5,-400,-0.66,13931262,-13582788,-38888754,52382371,9752877,3028979700,50.74,57375392,64247046,3802261
94,20230307,60700,5,-800,-1.30,11469975,-15308504,-35590738,50830054,10282217,3027159704,50.71,55555396,64110685,3793943
95,20230306,61500,2,1000,1.65,13156083,-16561306,-34933748,51465950,10976310,3028003920,50.72,56399612,63673335,3767111
96,20230303,60500,5,-300,-0.49,10669655,-13078400,-37200164,50174962,9699302,3026692932,50.70,55088624,63099817,3732254
97,20230302,60800,2,200,0.33,13049056,-14279302,-36966971,51180550,12976288,3028440362,50.73,56836054,62583110,3700701
98,20230228,60600,2,100,0.17,11812945,-13516103,-35349287,48629939,11594491,3025304438,50.68,53700130,61960146,3662712
99,20230227,60500,5,-800,-1.31,11150697,-12837719,-36438246,48995836,11459423,3026210335,50.69,54606027,61705855,3647334
100,20230224,61300,5,-700,-1.13,10167790,-15572226,-34550855,49939454,10712807,3026673423,50.70,55069115,61084945,3608765
101,20230223,62000,2,900,1.47,12948560,-16603435,-33545532,49945940,11905711,3026922180,50.70,55317872,61013991,3604360
102,20230222,61100,5,-1000,-1.61,11909088,-14668216,-34804640,49246400,12208768,3026291640,50.69,54687332,60692294,3584625
103,20230221,62100,5,-600,-0.96,7624592,-17260862,-32361765,49480448,12279746,3025568688,50.68,53964380,60589436,3578227
104,20230220,62700,2,100,0.16,12903247,-18801731,-30888648,49543200,12236473,3025821940,50.69,54217632,60377880,3565016
105,20230217,62600,5,-1100,-1.73,10696387,-19019192,-31435169,50324991,14267408,3026182851,50.69,54578543,60142390,3550197
106,20230216,63700,2,1500,2.41,13748358,-20265862,-29361445,49521205,14159060,3025320065,50.68,53715757,59639874,3518493
107,20230215,62200,5,-1000,-1.58,13182477,-15985731,-32094727,47912572,12590606,3023518492,50.65,51914184,59312464,3497931
108,20230214,63200,2,300,0.48,9126664,-18040847,-29641186,47541962,12366954,3023151882,50.64,51547574,58981261,3476884
109,20230213,62900,2,100,0.16,10700362,-16325316,-30989367,47137771,12375700,3022797691,50.63,51193383,58130220,3423620
110,20230210,62800,5,-200,-0.32,9376576,-16113820,-29160677,44873181,12769898,3020219612,50.59,48615304,57583360,3389375
111,20230209,63000,5,-100,-0.16,12164865,-16529897,-26943298,43112611,12523617,3017760979,50.55,46156671,57195534,3364980
112,20230208,63100,2,1200,1.94,12210425,-16344376,-25654126,41559393,11636357,3015974361,50.52,44370053,56873609,3344703
113,20230207,61900,2,300,0.49,14491039,-14138849,-24970565,38570330,10854922,3012802298,50.47,41197990,56576950,3326305
114,20230206,61600,5,-2200,-3.45,15523623,-14637872,-23942309,38006994,10987443,3011898262,50.45,40293954,56236740,3305127
115,20230203,63800,2,300,0.47,14853606,-18606473,-22173910,40282013,13262071,3014053481,50.49,42449173,55885859,3282741
116,20230202,63500,2,1700,2.75,23173276,-16873763,-20152468,36476903,9879641,3011043701,50.44,39439393,55644672,3267454
117,20230201,61800,2,800,1.31,17218723,-12093381,-18919921,31353720,7564372,3005826373,50.35,34222065,54567743,3201116
118,20230131,61000,5,-2300,-3.63,28338772,-12462998,-18407917,31290860,6652393,3005520203,50.35,33915895,54438705,3193186
119,20230130,63300,5,-1300,-2.01,19189053,-17661169,-19943144,38081522,9436680,3012326910,50.46,40722602,54122475,3172938
120,20230127,64600,2,700,1.10,18185551,-17742980,-19265650,36488074,8252021,3010762862,50.43,39158554,53759317,3149452
